Name,Start,End,Size
entry,0x00100000,0x00100088,136
FUN_00100088,0x00100088,0x001000B8,48
FUN_001000b8,0x001000B8,0x001000C0,8
FUN_00100468,0x00100468,0x00100490,40
zz_FUN_00100490,0x00100490,0x00100498,8
FUN_00100498,0x00100498,0x001004A0,8
zz_FUN_001004A0,0x001004A0,0x00100628,392
FUN_00100628,0x00100628,0x00100638,16
zz_FUN_00100638,0x00100638,0x00100720,232
FUN_00100720,0x00100720,0x00100760,64
zz_FUN_00100760,0x00100760,0x00100768,8
FUN_00100768,0x00100768,0x00100794,44
zz_FUN_00100794,0x00100794,0x001007A0,12
FUN_001007a0,0x001007A0,0x001007E0,64
zz_FUN_001007E0,0x001007E0,0x001007E8,8
FUN_001007e8,0x001007E8,0x001007FC,20
zz_FUN_001007FC,0x001007FC,0x00100808,12
FUN_00100808,0x00100808,0x00100828,32
zz_FUN_00100828,0x00100828,0x00100978,336
FUN_00100978,0x00100978,0x0010099C,36
FUN_00100da0,0x00100DA0,0x00100DAC,12
FUN_00100de0,0x00100DE0,0x00100E28,72
FUN_00100e30,0x00100E30,0x00100EA4,116
FUN_00100eb0,0x00100EB0,0x00100ED0,32
FUN_00101190,0x00101190,0x001011B8,40
FUN_00101248,0x00101248,0x001012CC,132
FUN_001012d8,0x001012D8,0x00101338,96
FUN_00101528,0x00101528,0x00101550,40
FUN_00101568,0x00101568,0x00101570,8
FUN_001018f0,0x001018F0,0x001018F8,8
FUN_00101af0,0x00101AF0,0x00101B2C,60
FUN_00101b40,0x00101B40,0x00101B8C,76
FUN_00101be0,0x00101BE0,0x00101BE8,8
FUN_00101c80,0x00101C80,0x00101C8C,12
FUN_00102050,0x00102050,0x00102070,32
FUN_001021a0,0x001021A0,0x001021E0,64
FUN_001022d0,0x001022D0,0x00102340,112
FUN_00102358,0x00102358,0x00102360,8
FUN_001023f8,0x001023F8,0x00102404,12
FUN_001024f0,0x001024F0,0x001024F8,8
FUN_00102568,0x00102568,0x00102590,40
FUN_001025a0,0x001025A0,0x001025BC,28
FUN_00102658,0x00102658,0x00102660,8
FUN_00102748,0x00102748,0x001027EC,164
FUN_00102840,0x00102840,0x001028A8,104
FUN_001028b0,0x001028B0,0x001028C0,16
FUN_001028c8,0x001028C8,0x00102970,168
FUN_00102988,0x00102988,0x0010299C,20
FUN_00102ab8,0x00102AB8,0x00102B14,92
